Tmedia,Urmedia,Vento_Km,Pressao,Chuva_mm,Rad_w_m2,ET_mm,ETClass
24.01944444,87.66666667,135.02,984.7347222,1.8,20161,2.66,3
21.75277778,80.94444444,244.17,986.8701389,0.6,31224,4.22,4
21.21180556,75.41666667,163.97,986.1958333,0.2,49940,5.91,6
22.70277778,71.9375,235.12,987.1763889,0,49673,6.61,7
24.0875,80.0625,167.52,984.8041667,0,26091,3.61,4
25.02847222,81.75694444,158.79,982.0576389,0.2,37625,4.8,5
25.09444444,75.29166667,105.09,980.9972222,0,47914,5.63,6
23.7125,72.85416667,289.99,984.1368056,0,35179,5.51,6
22.24930556,58.20138889,243.73,987.4069444,0,50936,7.29,7
22.93611111,58.88888889,166.98,984.9520833,0,50990,6.76,7
23.61527778,62.33333333,122.42,986.66875,0,50450,6.72,7
25.74097222,58,99.96,986.3229167,0,50542,6.65,7
26.76388889,54.19444444,155.28,986.7152778,0,49854,7.03,7
24.25486111,72.90972222,156.79,988.2319444,0,48843,6.05,6
23.63333333,70.16666667,136.44,989.2097222,0.2,46298,5.7,6
24.57083333,67.64583333,179.31,989.99375,0,48930,6.41,6
24.58611111,63.75,286.91,988.1868056,0,49893,7.03,7
25.72777778,65.64583333,216.97,986.3284722,5.6,45971,6.7,7
26.64583333,64.73611111,213.27,982.4736111,0.2,47948,7.02,7
24.36527778,62.5,165.15,980.3138889,0,30264,4.54,5
20.43680556,69.56944444,85.81,984.6861111,0.8,28285,3.56,4
20.78611111,69.3125,163.46,989.2284722,0,48127,5.75,6
22.16597222,75.03472222,243.03,988.55,0,26244,3.83,4
23.86388889,82.74305556,175.89,985.8354167,2,22960,3.08,3
23.93680556,82.5625,175.68,985.4729167,0.4,28642,3.84,4
23.14722222,74.77083333,180.15,988.075,0.4,39096,5.07,5
20.13888889,69.01388889,158.37,992.0194444,0,44508,5.34,5
20.21736111,71.13888889,158.35,991.5541667,0,41159,5.32,5
21.73125,76.90277778,189.83,987.7430556,0.2,24856,3.58,4
23.38611111,77.125,115.19,984.9729167,0.2,36897,4.66,5
23.77777778,70.875,151.79,988.6618056,0,41572,5.41,5
24.01875,67.61805556,189.79,991.4423611,0,47333,6.49,6
25.57013889,67.875,229.5,987.9305556,0,43986,6.02,6
26.0125,76.36805556,228.05,983.7951389,12.4,24298,3.97,4
26.43819444,76.84722222,202.76,984.2736111,1.2,30659,4.41,4
26.91666667,63.57638889,122.88,988.0027778,0,47457,6.21,6
25.69166667,66.10416667,182.53,987.4506944,0,43384,6,6
26.40416667,61.77777778,176.37,984.0743056,0,46647,6.42,6
